Distance_(pixels),Gray_Value
0,119.000
1,112.002
2,122.009
3,123.979
4,114.981
5,118.047
6,123.958
7,111.984
8,117.962
9,120.000
10,112.977
11,116.948
12,119.972
13,116.939
14,116.000
15,119.106
16,117.113
17,113.080
18,113.873
19,123.000
20,122.047
21,113.901
22,116.948
23,125.946
24,115.113
25,111.941
26,121.122
27,121.000
28,110.869
29,116.068
30,123.070
31,112.073
32,109.376
33,121.768
34,122.000
35,114.918
36,118.915
37,123.653
38,124.465
39,117.183
40,115.906
41,118.519
42,124.310
43,122.596
44,113.103
45,111.894
46,126.676
47,118.331
48,109.662
49,114.000
50,129.648
51,118.239
52,104.366
53,112.876
54,127.873
55,120.775
56,110.263
57,112.465
58,123.728
59,124.000
60,120.282
61,119.143
62,116.146
63,120.852
64,121.300
65,120.153
66,116.465
67,110.843
68,117.319
69,124.676
70,121.493
71,111.833
72,103.845
73,119.514
74,128.479
75,120.648
76,107.822
77,110.542
78,122.634
79,128.371
80,118.376
81,117.190
82,114.000
83,116.000
84,117.394
85,118.399
86,121.202
87,119.817
88,115.141
89,106.209
90,115.944
91,124.427
92,132.784
93,118.782
94,107.455
95,98.669
96,122.197
97,129.228
98,132.230
99,120.232
100,110.000
101,108.948
102,113.239
103,123.308
104,126.268
105,123.507
106,119.000
107,118.498
108,114.493
109,111.488
110,107.258
111,113.218
112,124.052
113,135.326
114,132.268
115,122.730
116,104.000
117,95.451
118,103.723
119,123.441
120,135.000
121,139.432
122,131.573
123,116.711
124,107.873
125,103.413
126,106.408
127,109.894
128,119.099
129,121.211
130,124.474
131,121.615
132,130.070
133,132.937
134,131.371
135,122.683
136,107.042
137,96.000
138,91.676
139,97.326
140,111.343
141,125.655
142,145.667
143,145.678
144,146.676
145,132.340
146,121.742
147,111.655
148,105.915
149,104.700
150,107.000
151,106.000
152,104.427
153,102.718
154,98.362
155,96.364
156,97.366
157,105.737
158,118.146
159,130.120
160,150.000
161,163.890
162,174.901
163,181.383
164,175.000
165,173.035
166,158.169
167,142.784
168,127.577
169,114.397
170,104.404
171,98.394
172,95.789
173,90.594
174,91.183
175,92.178
176,91.000
177,87.585
178,81.582
179,71.681
180,66.577
181,54.000
182,44.000
183,34.859
184,26.296
185,12.948
186,15.000
187,6.171
188,11.441
189,11.444
190,13.216
191,17.000
192,20.000
193,22.000
194,25.178
195,27.458
196,28.460
197,29.538
198,29.000
199,27.467
200,20.000
201,21.528
202,15.474
203,12.523
204,10.479
205,9.000
206,8.484
207,12.514
208,15.023
209,20.491
210,30.000
211,34.514
212,49.000
213,59.000
214,68.000
215,70.981
216,79.028
217,84.981
218,88.512
219,92.570
220,91.000
221,91.519
222,95.085
223,98.812
224,107.052
225,122.831
226,134.939
227,149.934
228,166.535
229,179.850
230,183.620
231,185.085
232,172.455
233,159.359
234,147.451
235,125.207
236,115.784
237,101.000
238,99.765
239,97.244
240,98.563
241,104.566
242,103.432
243,105.000
244,102.427
245,103.000
246,107.423
247,118.160
248,127.671
249,143.415
250,151.347
251,148.643
252,139.775
253,121.406
254,104.596
255,95.599
256,90.601
257,97.413
258,110.394
259,122.392
260,131.610
261,134.000
262,127.460
263,123.939
264,119.662
265,119.622
266,117.751
267,113.000
268,104.113
269,104.894
270,103.366
271,120.636
272,135.639
273,141.282
274,134.930
275,116.354
276,102.127
277,95.049
278,106.347
279,123.000
280,136.685
281,136.000
282,122.676
283,111.664
284,109.333
285,109.007
286,113.643
287,118.674
288,115.676
289,123.678
290,126.319
291,124.317
292,115.371
293,101.937
294,105.000
295,120.230
296,134.610
297,134.000
298,115.300
299,105.509
300,101.408
301,119.467
302,128.291
303,126.021
304,117.141
305,106.568
306,111.873
307,122.559
308,122.108
309,117.373
310,115.000
311,119.000
312,110.268
313,112.000
314,121.474
315,123.042
316,121.484
317,108.744
318,105.014
319,126.995
320,134.751
321,126.768
322,103.732
323,107.242
324,125.761
325,134.526
326,117.469
327,108.303
328,115.460
329,124.545
330,125.225
331,113.892
332,113.441
333,114.000
334,115.568
335,119.359
336,121.634
337,107.702
338,108.446
339,119.000
340,128.587
341,118.200
342,112.014
343,118.948
344,130.347
345,119.479
346,108.000
347,119.371
348,125.000
349,115.277
350,112.822
351,121.352
352,124.131
353,120.486
354,114.493
355,113.333
356,116.000
357,124.704
358,117.319
359,116.528
360,114.310
361,122.390
362,112.000
363,110.000
364,122.563
365,123.714
366,110.000
367,117.862
368,124.864
369,110.669
370,109.263
371,124.258
372,117.380
373,116.876
374,117.756
375,121.761
376,116.352
377,115.460
378,118.775
379,117.552
380,110.324
381,113.894
382,120.103
383,121.899
384,109.197
385,122.904
386,124.094
387,109.817
388,117.357
389,122.261
390,108.831
391,124.918
392,124.840
393,117.845
394,122.000
395,123.782
396,116.000
397,116.000
398,120.131
399,117.937
400,117.939
401,117.352
402,117.056
403,119.838
404,117.897
405,125.852
406,114.906
407,114.312
408,119.127
409,111.080
410,123.887
411,119.035
412,112.099
413,123.786
414,116.000
415,113.155
416,124.000
417,114.085
418,119.075
419,120.967
420,111.113
421,120.977
422,115.981
423,115.986
424,117.005
425,116.000
426,117.000
